database,id,latitude,longitude,scientific_name,rank,taxon_id
ibp,18675675,13.2464,80.319,Pteropus giganteus (Brünnich 1782),species,NA
ibp,18529991,14.3541769,75.7986464,Kerivoula picta (Pallas 1767),species,NA
ibp,18529986,14.3541769,75.7986464,Pteropus giganteus (Brünnich 1782),species,NA
ibp,18522336,12.8996676,77.4826837,Cynopterus sphinx (Vahl 1797),species,NA
ibp,18420169,12.89856885,77.54171746,Cynopterus,genus,NA
ibp,18418584,27.9089035,78.0669761,Pteropus giganteus (Brünnich 1782),species,NA
ibp,18417127,13.0169513,77.5670914,Pteropus giganteus (Brünnich 1782),species,NA
ibp,18364330,11.3530022,76.7959095,Pipistrellus,subgenus,NA
ibp,18237017,18.6145071,82.8906722,Eonycteris spelaea (Dobson 1871),species,NA
ibp,18036620,21.4689242,72.9490094,Cynopterus,genus,NA
ibp,17926012,27.0097274,94.3436686,Pteropus giganteus (Brünnich 1782),species,NA
ibp,17827033,26.2124007,78.1772053,Chiroptera,order,NA
ibp,17825430,12.6023926,77.5458622,Pteropus giganteus (Brünnich 1782),species,NA
ibp,17743798,28.687023,77.3177246,Cynopterus sphinx (Vahl 1797),species,NA
ibp,17743785,28.687023,77.3177246,Cynopterus sphinx (Vahl 1797),species,NA
ibp,17284001,15.10511076,73.93229474,Rhinolophus beddomei K. Andersen 1905,species,NA
ibp,17283741,15.5090383,73.9431971,Pteropus giganteus (Brünnich 1782),species,NA
ibp,17282254,15.5090383,73.9431971,Pteropus giganteus (Brünnich 1782),species,NA
ibp,17278392,15.54095948,73.82110568,Cynopterus sphinx (Vahl 1797),species,NA
ibp,17263810,14.4644085,75.921758,Kerivoula picta (Pallas 1767),species,NA
ibp,17245214,24.8170111,93.9368439,Chiroptera,order,NA
ibp,17124654,26.1889484,91.7425534,Pteropus giganteus (Brünnich 1782),species,NA
ibp,17113742,11.664325,78.1460142,Pteropus giganteus (Brünnich 1782),species,NA
ibp,17104914,11.7508586,78.1885047,Cynopterus sphinx (Vahl 1797),species,NA
ibp,16955792,8.151915906,77.43073807,Pteropus giganteus (Brünnich 1782),species,NA
ibp,16870307,27.0016172,94.2242981,Pteropus giganteus (Brünnich 1782),species,NA
ibp,16853041,24.3528077,92.3446028,Cynopterus brachyotis (Müller 1838),species,NA
ibp,16817774,9.9765,76.3204,Pteropus giganteus (Brünnich 1782),species,NA
ibp,16796546,26.57753167,93.17112207,Pteropus giganteus (Brünnich 1782),species,NA
ibp,16796469,26.57753167,93.17112207,Scotophilus heathii (Horsfield 1831),species,NA
ibp,16713121,11.3607,76.7841,Pteropus giganteus (Brünnich 1782),species,NA
ibp,16712098,13.3694378,77.6861306,Rhinolophus beddomei K. Andersen 1905,species,NA
ibp,16438509,12.2067236,76.6853049,Megaderma spasma (Linnaeus 1758),species,NA
ibp,16390727,15.3971903,74.3382187,Rhinolophus rouxii Temminck 1835,species,NA
ibp,16373073,25.71,94.9059,Hipposideros cineraceus Blyth 1853,species,NA
ibp,16373063,25.70001474,94.93583538,Hipposideros armiger (Hodgson 1835),species,NA
ibp,16359165,14.5714394,75.8897029,Pteropus giganteus (Brünnich 1782),species,NA
ibp,16134720,9.9373281,76.2862873,Pteropus giganteus (Brünnich 1782),species,NA
ibp,16108017,8.8167449,76.6815062,Pteropus giganteus (Brünnich 1782),species,NA
ibp,16096998,25.5,90.3333333,Rhinolophus,genus,NA
ibp,16068958,12.6763959,75.0720656,Rhinolophus beddomei K. Andersen 1905,species,NA
ibp,16049556,9.8515609,76.3829116,Pteropus giganteus (Brünnich 1782),species,NA
ibp,16009925,8.8956211,76.6394333,Pteropus giganteus (Brünnich 1782),species,NA
ibp,15982190,25.6164189,85.1411084,Pteropus giganteus (Brünnich 1782),species,NA
ibp,15890468,10.3070105,76.3340589,Chiroptera,order,NA
ibp,15865327,9.4404594,76.5329269,Chiroptera,order,NA
ibp,15855020,9.4632894,76.6672602,Pteropus giganteus (Brünnich 1782),species,NA
ibp,15852727,8.5493036,76.9772675,Pteropus giganteus (Brünnich 1782),species,NA
ibp,15852680,8.5493036,76.9772675,Cynopterus,genus,NA
ibp,15834064,9.4632894,76.6672602,Cynopterus brachyotis (Müller 1838),species,NA
ibp,15829041,13.1931501,77.4845898,Pteropus giganteus (Brünnich 1782),species,NA
ibp,15768136,9.4404594,76.5329269,Pteropus vampyrus (Linnaeus 1758),species,NA
ibp,15707801,10.2922744,76.1653315,Chiroptera,order,NA
ibp,15376992,19.2161427,73.0989616,Pteropus giganteus (Brünnich 1782),species,NA
ibp,14863533,13.0660807,77.57389971,Cynopterus sphinx (Vahl 1797),species,NA
ibp,1844942,19.21939824,72.9524231,Scotophilus heathii (Horsfield 1831),species,NA
ibp,1844796,15.54643536,73.87838745,Rousettus leschenaultii (Desmarest 1820),species,NA
ibp,1844794,15.54059601,73.87215424,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1844790,15.55080509,73.89181519,Megaderma lyra E. Geoffroy 1810,species,NA
ibp,1844788,15.54968834,73.88168335,Megaderma spasma (Linnaeus 1758),species,NA
ibp,1844787,15.54965878,73.88170624,Rhinolophus lepidus Blyth 1844,species,NA
ibp,1844545,26.78730011,90.56030273,Rousettus leschenaultii (Desmarest 1820),species,NA
ibp,1844535,26.73457336,90.52459717,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1828078,24.43341446,92.32875824,Cynopterus,genus,NA
ibp,1826772,18.11271286,75.02475739,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1824287,10.77226448,76.36951447,Hipposideros speoris (Schneider 1800),species,NA
ibp,1824286,10.24029827,76.26313019,Pteropus giganteus (Brünnich 1782),species,NA
