catalogNumber,createdBy,placeName,flagNotes,State,noOfIdentifications,geoPrivacy,createdOn (UTC),createdOn (Portal time),associatedMedia,group_id,dateAccuracy,isLocked,locationLat,locationLon,locationScale,fromDate,toDate,rank,scientificName,commonName,kingdom,phylum,class,order,superfamily,family,genus,species,basisOfRecord,village name in english,village id,plot id,plant habit in english,plant habitat in english,Folklore: A story about this tree,Uses: This tree is used for,Institution Name,Isha Vidhya School,Height (m),Canopy Diameter (m),Trunk Circumference (cm),Any other comments,Did you observe ants on the plant?,Did you observe hemipterans on the plant?,Which part of the plant is infested with insects?,What proportion of the plant is infested?,Did you find any other insects besides ants and hemipterans?, Which of the following hemipteran species have you observed?,Which ant species did you observe?,Texture,Has stem?,Bottom surface,Besides this initiative, do you record crows during bird watching/citizen science?,How do you feel about the presence of crows in your area?,Weather conditions.,What behaviours did you observe?,Number of birds observed.,Understory,Canopy Cover,Plot No.,DBH,Trunk Area,GBH,Edibility status,Ecological Role,Growing on,previousIdentifications,previousVernacularNames,speciesPageId,higherClassificationId,reverseGeocodedName,state,tahsil,district,Sex,Life Stage (Complete Metamorphosis),Life Stage (Incomplete Metamorphosis),Phenology State,Habitat Type,Abundance,Life Stage,Activity,Microhabitat,Wild/Domestic,toDate,observedInMonth,lastRevised,noOfImages,datasetName,containsMedia,uploadProtocol,organismRemarks,tags,speciesGroup,datatableName,datatableAnnotations,basisOfData
18675675,Dr. BALAKRISHNAN T,"68W9+HJ Chennai, Tamil Nadu, India",,Tamil Nadu,1,FALSE,06-08-2024,06-08-2024,/1c8be109-e5b7-4836-8aea-08b5bfc1eeea/b36687e61c17431da516d8c98c993304.jpg,Mammals,ACCURATE,FALSE,13.2464,80.319,APPROXIMATE,31-08-2022,31-08-2022,species,Pteropus giganteus (Brünnich 1782),Indian Flying Fox:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Pteropus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268711#Pteropus giganteus (Brünnich 1782) | ,268711#Indian Flying Fox:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Pteropus#rank:genus#taxonID:20471 | name:Pteropus giganteus (Brünnich 1782)#rank:species#taxonID:20473,"68W9+HJ Chennai, Tamil Nadu, India",TAMILNADU,Ponneri,Thiruvallur,,,,,,,,,,,2022-08-31T18:30:00,August,2024-08-06T17:31:42,2,,TRUE,SINGLE_OBSERVATION,,,Mammals,,,
18529991,Visista,"9Q3X+R8C, Guladahalli, Karnataka 577530",,Karnataka,1,FALSE,31-03-2024,31-03-2024,/0cecd8de-5a7c-4a0f-9806-39446d719f22/8a1d7307dd6d42548ba6bef997033a65.JPG,Mammals,ACCURATE,FALSE,14.3541769,75.7986464,ACCURATE,04-06-2013,04-06-2013,species,Kerivoula picta (Pallas 1767),Painted Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,Kerivoula,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268704#Kerivoula picta (Pallas 1767) | ,268704#Painted Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Vespertilionoidea#rank:superfamily#taxonID:276560 | name:Vespertilionidae#rank:family#taxonID:20255 | name:Kerivoula#rank:genus#taxonID:20327 | name:Kerivoula picta (Pallas 1767)#rank:species#taxonID:20337,"9Q3X+R8C, Guladahalli, Karnataka 577530",KARNATAKA,Harihar,Davanagere,,,,,,,,,,,2013-06-04T18:30:00,June,2024-03-31T05:01:36,5,,TRUE,MULTI_OBSERVATION,Bat in our Farm,,Mammals,,,
18529986,Visista,"9Q3X+R8C, Guladahalli, Karnataka 577530",,Karnataka,1,FALSE,31-03-2024,31-03-2024,/b39c866d-2149-4791-b4ab-19e567af4e3c/fc51ae6f0c2d4ffa99e7fc8b8bfc4450.JPG,Mammals,ACCURATE,FALSE,14.3541769,75.7986464,ACCURATE,08-09-2015,08-09-2015,species,Pteropus giganteus (Brünnich 1782),Indian Flying Fox:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Pteropus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268711#Pteropus giganteus (Brünnich 1782) | ,268711#Indian Flying Fox:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Pteropus#rank:genus#taxonID:20471 | name:Pteropus giganteus (Brünnich 1782)#rank:species#taxonID:20473,"9Q3X+R8C, Guladahalli, Karnataka 577530",KARNATAKA,Harihar,Davanagere,,,,,,,,,,,2015-09-08T18:30:00,September,2024-05-17T05:18:34,1,,TRUE,MULTI_OBSERVATION,Bat in our Farm,,Mammals,,,
18522336,Rama Aadhithan,"Kengeri, Bengaluru, Karnataka 560060, India",,Karnataka,1,FALSE,29-03-2024,29-03-2024,/4b872983-1ce5-49bb-99cb-f268a4580078/ff99bef9e31d4486aa233f9bc24f0421.jpg,Mammals,ACCURATE,FALSE,12.8996676,77.4826837,APPROXIMATE,12-04-2023,12-04-2023,species,Cynopterus sphinx (Vahl 1797),Short Nosed Bat:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Cynopterus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376939#Cynopterus sphinx (Vahl 1797) | ,376939#Short Nosed Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Cynopterus#rank:genus#taxonID:20226 | name:Cynopterus sphinx (Vahl 1797)#rank:species#taxonID:20234,"Kengeri, Bengaluru, Karnataka 560060, India",KARNATAKA,Bangalore South,Bangalore,,,,,,,,,,,2023-04-12T18:30:00,April,2024-04-07T16:06:05,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
18420169,Bhuvan Raj K,"VGXR+8M6, Jayanagar housing society layout, Subramanyapura, Bengaluru, Karnataka 560061",,Karnataka,1,TRUE,06-02-2024,06-02-2024,/9e706a52-5f7d-4b0f-a8c2-ab520580eac8/6f9c522221f4495c811998abcc3df597.jpeg,Mammals,ACCURATE,FALSE,12.89856885,77.54171746,ACCURATE,03-10-2023,03-10-2023,genus,Cynopterus,,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Cynopterus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317385#Cynopterus | ,,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Cynopterus#rank:genus#taxonID:20226,"VGXR+8M6, Jayanagar housing society layout, Subramanyapura, Bengaluru, Karnataka 560061",KARNATAKA,Bangalore South,Bangalore,,,,,Urban,Common,,,,Wild,2023-10-03T18:30:00,October,2024-02-06T17:30:48,1,,TRUE,SINGLE_OBSERVATION,,,Mammals,,,
18418584,Amber Habib,"Badar Bagh, Aligarh, Uttar Pradesh 202001",,Uttar Pradesh,1,FALSE,04-02-2024,04-02-2024,/579861a6-781e-4356-aa42-6b388b02fb86/9a569f50e07547bda9543e5c8d041076.JPG,Mammals,ACCURATE,FALSE,27.9089035,78.0669761,APPROXIMATE,26-01-2024,26-01-2024,species,Pteropus giganteus (Brünnich 1782),Indian Flying Fox:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Pteropus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268711#Pteropus giganteus (Brünnich 1782) | ,268711#Indian Flying Fox:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Pteropus#rank:genus#taxonID:20471 | name:Pteropus giganteus (Brünnich 1782)#rank:species#taxonID:20473,"Badar Bagh, Aligarh, Uttar Pradesh 202001",UTTAR PRADESH,Koil,Aligarh,Male,,,,Urban | Garden,Occasional,,,,Wild,2024-01-26T18:30:00,January,2024-02-06T04:09:13,1,,TRUE,SINGLE_OBSERVATION,,,Mammals,,,
18417127,samagni,"IISC Bangalore, Gulmohar Marg, Mathikere, Bengaluru, Karnataka 560012",,Karnataka,1,FALSE,02-02-2024,02-02-2024,,Mammals,APPROXIMATE,FALSE,13.0169513,77.5670914,APPROXIMATE,28-03-2022,28-03-2022,species,Pteropus giganteus (Brünnich 1782),Indian Flying Fox:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Pteropus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268711#Pteropus giganteus (Brünnich 1782) | ,268711#Indian Flying Fox:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Pteropus#rank:genus#taxonID:20471 | name:Pteropus giganteus (Brünnich 1782)#rank:species#taxonID:20473,"IISC Bangalore, Gulmohar Marg, Mathikere, Bengaluru, Karnataka 560012",KARNATAKA,Bangalore North,Bangalore,,,,,,,,,,,2022-03-28T18:30:00,March,2024-02-02T04:46:13,0,,TRUE,SINGLE_OBSERVATION,,,Mammals,,,
18364330,Moinudheen,"Coonoor, Tamil Nadu",,Tamilnadu,1,FALSE,19-12-2023,19-12-2023,/05d2f46d-32de-4087-9355-64ffa175fa1e/78850a8be6384070afe0b6d068c8cad2.jpeg,Mammals,ACCURATE,FALSE,11.3530022,76.7959095,APPROXIMATE,18-12-2023,18-12-2023,subgenus,Pipistrellus,,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,Pipistrellus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440575#Pipistrellus | ,,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Vespertilionoidea#rank:superfamily#taxonID:276560 | name:Vespertilionidae#rank:family#taxonID:20255 | name:Pipistrellus#rank:genus#taxonID:20419 | name:Pipistrellus#rank:subgenus#taxonID:277316,"Coonoor, Tamil Nadu",TAMILNADU,Coonoor,The Nilgiris,Male,,,,Rural | Shrubland | Stream,Occasional,,,,Wild,2023-12-18T18:30:00,December,2023-12-20T04:37:32,2,,TRUE,SINGLE_OBSERVATION,,,Mammals,,,
18237017,Bikash Kumar Sahoo,"JV7R+R73, Unnamed Road, Pungar, Odisha 764036, India",,Odisha,1,FALSE,30-10-2023,30-10-2023,/cbfcff3c-0edd-400e-a355-8039bbcc4c9f/73ca143f22d5491a9b42b66cc1974eb6.JPG,Mammals,ACCURATE,FALSE,18.6145071,82.8906722,APPROXIMATE,04-06-2020,04-06-2020,species,Eonycteris spelaea (Dobson 1871),Common Nectar Bat:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Eonycteris,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268688#Eonycteris spelaea (Dobson 1871) | ,268688#Common Nectar Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Eonycteris#rank:genus#taxonID:20249 | name:Eonycteris spelaea (Dobson 1871)#rank:species#taxonID:20251,"JV7R+R73, Unnamed Road, Pungar, Odisha 764036, India",ODISHA,Pottangi,Koraput,,,,,,,,,,,2020-06-04T18:30:00.000,June,2023-10-30T08:19:28.466,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
18036620,Jugal Patel,"Tarsadi, Kosamba, Gujarat 394120",,Gujarat,1,FALSE,05-09-2023,05-09-2023,/14b5ba50-61fb-4e58-8195-b015687acdfd/1885f1ec35ca4007aa7a219f444525cd.jpg,Mammals,ACCURATE,FALSE,21.4689242,72.9490094,APPROXIMATE,11-07-2023,11-07-2023,genus,Cynopterus,,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Cynopterus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317385#Cynopterus | ,,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Cynopterus#rank:genus#taxonID:20226,"Tarsadi, Kosamba, Gujarat 394120",GUJARAT,Mangrol,Surat,,,,,Urban | Garden,Frequent,,,,,2023-07-11T18:30:00.000Z,July,2023-09-06T04:38:18.723Z,1,,TRUE,SINGLE_OBSERVATION,,,Mammals,,,
