Species,Diet
Taphozous melanopogon,"Coleoptera, Lepidoptera, Orthoptera, Hemiptera, Odonata, Non_insect_Spider, Diptera, Dermaptera, Trichoptera, Neuroptera, Emphemeroptera, Homoptera"
Taphozous nudiventris,"Coleoptera, Orthoptera, Hemiptera, Hymenoptera"
Megaderma (Lyroderma) lyra ,"Coleoptera, Hemiptera, Orthoptera, Non_insect_rodents:bats:snakes:geckos:frogs"
Rhinopoma microphyllum,"Coleoptera, Hymenoptera, Hemiptera, Diptera, Orthoptera"
Rhinopoma microphyllum kinneari,"Coleoptera, Isoptera, Neuroptera, Lepidoptera, Hymenoptera, Orthoptera, Dictyoptera"
Rhinopoma hardwickii,"Orthoptera, Isoptera, Dictyoptera, Lepidoptera , Hymenoptera, Neuroptera, Diptera, Coleoptera, Non_insect_Spider"
Rhinolophus lepidus,"Coleoptera, Hymenoptera, Hemiptera, Lepidoptera"
Hipposideros ater,"Non_insect_Spider, Orthoptera, Mantodea, Blattaria, Isoptera, Hemiptera, Coleoptera, Neuroptera, Diptera, Lepidoptera, Hymenoptera, Trichoptera, Dermoptera"
Scotophilus kuhlii,"Coleoptera, Diptera, Lepidoptera, Orthoptera, Isoptera, Hemiptera, Hymenoptera, Odonata, Blattodea, Thysanoptera, Mantodea"
Hipposideros durgadasi,"Coleoptera, Diptera, Lepidoptera, Hymenoptera, Thysanoptera, Blattodea, Odonata, Mantodea, Orthoptera, Neuroptera"
Hipposideros speoris,"Coleoptera, Diptera, Lepidoptera, Hymenoptera, Thysanoptera, Blattodea, Odonata, Hemiptera, Orthoptera, Neuroptera"
Megaderma spasma,"Orthoptera, Coleoptera, Homoptera, Dictyoptera, Phasmida, Isoptera, Non_insect_Aves, Lepidoptera "
Pipistrillus mimus,"Coleoptera, Diptera, Homoptera, Lepidoptera, Hymenoptera, Hemiptera, Isoptera, Trichoptera"
Pipistrillus coromandra,"Non_insect_Spider, Odonata, Orthoptera, Mantodea, Blattaria, Isoptera, Hemiptera, Neuroptera, Coleoptera, Diptera, Lepidoptera, Hymenoptera"
Ia io,"Non_insect_Birds, Coleoptera, Lepidoptera, Diptera, Orthoptera, Hemiptera, Non_insect_mites"
