S.No.,Family,English Name,Scientific Name,Authority,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Gujarat,Goa,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhaya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttarpradesh,Uttarakhand,West Bengal,Andaman & Nicobar,Chandigarh,"Dadra Nagar Haveli, Daman & Diu",Delhi,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry
1,Pteropodidae,Greater Short-nosed Fruit Bat,Cynopterus sphinx,"(Vahl, 1797)",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,Uttam,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
2,Pteropodidae,Lesser Short-nosed Fruit Bat,Cynopterus brachyotis,"(Müller, 1838)",1,1,1,Uttam,0,Uttam,1,0,0,0,1,1,Uttam,1,0,1,1,1,Uttam,0,0,0,1,0,0,0,0,Uttam,1,0,0,0,0,0,0,0
3,Pteropodidae,Lesser Dawn Bat,Eonycteris spelaea,"(Dobson, 1871)",1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
4,Pteropodidae,Salim Ali’s Fruit Bat,Latidens salimalii,"Thonglongya, 1972",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Pteropodidae,Greater Long-nosed Fruit Bat,Macroglossus sobrinus,"K. Andersen, 1911",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,Uttam,0,0,1,0,0,0,0,0,0,0,0
6,Pteropodidae,Ratanaworabhan’s Fruit Bat,Megaerops niphanae,"Yenbutra & Fenten, 1983",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,Pteropodidae,Indian Flying Fox,Pteropus medius,"Temminck, 1825",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Uttam,Uttam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
8,Pteropodidae,Variable Flying Fox,Pteropus hypomelanus,"Temminck, 1853",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Pteropodidae,Black-eared Flying Fox,Pteropus melanotus,"Blyth, 1863",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Pteropodidae,Nicobar Flying Fox,Pteropus faunulus,"Miller, 1902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Pteropodidae,Leschenault’s Rousette,Rousettus leschenaultii,"(Desmarest, 1820)",1,1,1,1,1,1,1,Uttam,1,1,1,1,1,1,1,1,1,1,1,Uttam,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0
12,Pteropodidae,Blanford’s Fruit Bat,Sphaerias blanfordi,"(Thomas, 1891)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
13,Rhinolophidae,Greater Horseshoe Bat,Rhinolophus ferrumequinum,"(Schreber, 1774)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14,Rhinolophidae,Lesser Horseshoe Bat,Rhinolophus hipposideros,"(André, 1797)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15,Rhinolophidae,Intermediate Horseshoe Bat,Rhinolophus affinis,"Horsfield, 1823",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
16,Rhinolophidae,Least Horseshoe Bat,Rhinolophus pusillus,"Temminck, 1834",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17,Rhinolophidae,Trefoil Horseshoe Bat,Rhinolophus trifoliatus,"Temminck, 1834",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Rhinolophidae,Northern Woolly Horseshoe Bat,Rhinolophus perniger,"Hodgson, 1843",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
19,Rhinolophidae,Greater Japanese Horseshoe Bat,Rhinolophus nippon,"Temminck, 1835",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
20,Rhinolophidae,Lesser Rufous Horseshoe Bat,Rhinolophus rouxii,"Temminck, 1835",1,Uttam,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,Rhinolophidae,Blyth’s Horseshoe Bat,Rhinolophus lepidus,"Blyth, 1844",1,0,1,1,Uttam,1,Uttam,Uttam,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,Uttam,1,1,0,0,0,1,0,0,0,0
22,Rhinolophidae,Big-eared Horseshoe Bat,Rhinolophus macrotis,"Blyth, 1844",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
23,Rhinolophidae,Mitred Horseshoe Bat,Rhinolophus mitratus,"Blyth, 1844",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Rhinolophidae,Little Nepalese Horseshoe Bat,Rhinolophus subbadius,"Blyth, 1844",0,1,0,0,0,0,0,0,0,0,0,0,0,0,Uttam,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Rhinolophidae,Pearson’s Horseshoe Bat,Rhinolophus pearsonii,"Horsfield, 1851",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
26,Rhinolophidae,Homfray’s Horseshoe Bat,Rhinolophus andamanensis,"Dobson, 1872",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Rhinolophidae,Dobson’s Horseshoe Bat,Rhinolophus yunanensis,"Dobson, 1872",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Rhinolophidae,Beddome’s Horseshoe Bat,Rhinolophus beddomei,"K. Andersen, 1905",1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Rhinolophidae,Chinese Horseshoe Bat,Rhinolophus sinicus,"K. Andersen, 1905",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
30,Rhinolophidae,Andaman Horseshoe Bat,Rhinolophus cognatus,"K. Andersen, 1906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,Rhinolophidae,Shortridge’s Horseshoe Bat,Rhinolophus shortridgei,"K. Andersen, 1918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uttam,0,Uttam,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Hipposideridae,Geoffroy’s Trident Leaf-nosed Bat,Asellia tridens,"(E. Geoffroy, 1813)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Hipposideridae,East Asian Tail-less Leaf-nosed Bat,Coelops frithii,"Blyth, 1848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,Hipposideridae,Schneider’s Leaf-nosed Bat,Hipposideros speoris,"(Schneider, 1800)",1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,Uttam,1,0,0,0,0,0,0,0,0,0
35,Hipposideridae,Diadem Leaf-nosed Bat,Hipposideros diadema,"(E. Geoffroy, 1813)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
36,Hipposideridae,Great Leaf-nosed Bat,Hipposideros armiger,"(Hodgson, 1835)",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
37,Hipposideridae,Fulvus Leaf-nosed Bat,Hipposideros fulvus,"Gray, 1838",1,0,0,1,Uttam,1,0,1,0,1,1,1,1,1,0,0,0,0,1,Uttam,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
38,Hipposideridae,Cantor’s Leaf-nosed Bat,Hipposideros galeritus,"Cantor, 1846",0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
