year,sp_count
1758,1
1767,1
1774,2
1797,2
1800,2
1810,1
1813,2
1814,1
1817,1
1818,2
1820,1
1821,1
1823,2
1825,2
1830,1
1831,2
1834,2
1835,5
1837,1
1838,5
1840,6
1841,1
1843,1
1844,4
1846,2
1847,1
1848,2
1850,1
1851,3
1852,1
1853,2
1855,2
1857,2
1859,2
1863,1
1866,1
1869,1
1870,1
1871,5
1872,9
1873,2
1874,1
1875,1
1876,2
1880,1
1881,1
1891,1
1902,3
1905,2
1906,2
1911,3
1913,3
1915,3
1916,2
1918,4
1923,1
1926,1
1931,1
1932,1
1940,1
1951,1
1970,1
1972,1
1983,1
1994,1
2004,1
2012,2
2013,1
2017,1
2022,2
2023,1
